,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_hidden_layer_sizes,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
52,2.176778554916382,0.14520354962676735,0.003191375732421875,0.00039856597525019926,"(12, 12, 12)","{'hidden_layer_sizes': (12, 12, 12)}",0.9818435754189944,0.9769553072625698,0.9807893817673768,0.9818372336709745,0.9779951100244498,0.9798841216288731,0.002030759471571958,12
36,1.212196445465088,0.02465178449161241,0.0030356407165527343,0.0005182255310381233,"(9, 9)","{'hidden_layer_sizes': (9, 9)}",0.9814944134078212,0.9755586592178771,0.9811386657352428,0.9828850855745721,0.9779951100244498,0.9798143867919926,0.002661818187058287,13
56,1.7636531352996827,0.073214833910047,0.00307316780090332,0.00012883998833369164,"(13, 13)","{'hidden_layer_sizes': (13, 13)}",0.9807960893854749,0.9769553072625698,0.9811386657352428,0.9818372336709745,0.9783443939923158,0.9798143380093156,0.0018517331758198773,14
66,1.8166669368743897,0.1250783230169561,0.003191375732421875,0.00039832601643138344,"(15, 15)","{'hidden_layer_sizes': (15, 15)}",0.9811452513966481,0.9766061452513967,0.9814879497031086,0.9818372336709745,0.9779951100244498,0.9798143380093155,0.002110284560765317,15
70,4.206153011322021,0.29219268816948035,0.004386758804321289,0.0007981824122693776,100,{'hidden_layer_sizes': 100},0.9811452513966481,0.9769553072625698,0.9811386657352428,0.9818372336709745,0.9779951100244498,0.9798143136179771,0.0019545295340301447,16
67,2.5046506404876707,0.09048194592571884,0.0037896156311035155,0.00039873183044410534,"(15, 15, 15)","{'hidden_layer_sizes': (15, 15, 15)}",0.9811452513966481,0.9766061452513967,0.9811386657352428,0.9818372336709745,0.9779951100244498,0.9797444812157424,0.0020588818617414384,17
46,1.290179681777954,0.06546978656294253,0.0035950660705566405,0.00045383384290426023,"(11, 11)","{'hidden_layer_sizes': (11, 11)}",0.9811452513966481,0.9769553072625698,0.9811386657352428,0.9814879497031086,0.9779951100244498,0.9797444568244039,0.001886021253516192,18
61,1.6792096138000487,0.1778386192451246,0.002984905242919922,2.6480395014423593e-05,"(14, 14)","{'hidden_layer_sizes': (14, 14)}",0.9814944134078212,0.9762569832402235,0.9811386657352428,0.9814879497031086,0.9779951100244498,0.9796746244221692,0.0021561186124078808,19
25,0.6356148242950439,0.019430229052410337,0.0023111820220947264,0.00042137253851979597,7,{'hidden_layer_sizes': 7},0.9814944134078212,0.9762569832402235,0.9811386657352428,0.9814879497031086,0.9779951100244498,0.9796746244221692,0.0021561186124078808,19
69,4.252228021621704,0.1020163160386466,0.003989219665527344,5.43678009557313e-07,"(15, 15, 15, 15, 15)","{'hidden_layer_sizes': (15, 15, 15, 15, 15)}",0.9797486033519553,0.9766061452513967,0.9814879497031086,0.9807893817673768,0.9790429619280475,0.979535008400377,0.0016883959343400575,21
15,0.5781928539276123,0.050108369434498354,0.002663421630859375,0.00045076250126898623,5,{'hidden_layer_sizes': 5},0.9811452513966481,0.9766061452513967,0.9818372336709745,0.9800908138316451,0.9779951100244498,0.9795349108350229,0.0019571187846979684,22
26,1.0822182655334474,0.16082644006004967,0.0030005455017089845,0.000633940330714354,"(7, 7)","{'hidden_layer_sizes': (7, 7)}",0.979050279329609,0.9769553072625698,0.9814879497031086,0.9818372336709745,0.9779951100244498,0.9794651759981423,0.0019157737521491322,23
41,1.283472967147827,0.07080035600962936,0.0029912471771240236,0.00012422366677395259,"(10, 10)","{'hidden_layer_sizes': (10, 10)}",0.9800977653631285,0.9766061452513967,0.980440097799511,0.9818372336709745,0.9779951100244498,0.979395270421892,0.0018594631621309916,24
21,0.9260386466979981,0.030198793796481934,0.002773571014404297,0.0003919086979426563,"(6, 6)","{'hidden_layer_sizes': (6, 6)}",0.9807960893854749,0.9762569832402235,0.9807893817673768,0.9821865176388404,0.9769472581208523,0.9793952460305537,0.0023468494581526593,25
35,0.7614019870758056,0.07885878386722964,0.0026572704315185546,0.0004289126409365848,9,{'hidden_layer_sizes': 9},0.9804469273743017,0.9769553072625698,0.9807893817673768,0.9807893817673768,0.9779951100244498,0.979395221639215,0.0016066701328080275,26
38,2.05930380821228,0.07437483721429877,0.003383493423461914,0.0008021210987907171,"(9, 9, 9, 9)","{'hidden_layer_sizes': (9, 9, 9, 9)}",0.9807960893854749,0.9741620111731844,0.9814879497031086,0.9818372336709745,0.9783443939923158,0.9793255355850116,0.0028555844848186795,27
