mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_hidden_layer_sizes,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.5620570182800293,0.10961515023535788,0.002890491485595703,0.0011126503331736848,identity,5,lbfgs,"{'activation': 'identity', 'hidden_layer_sizes': 5, 'solver': 'lbfgs'}",0.9818435754189944,0.9776536312849162,0.9811386657352428,0.9818372336709745,0.9783443939923158,0.9801635000204888,0.0017990871941183785,1
1.1089771270751954,0.10619058188319484,0.002455472946166992,0.0004632396299794406,identity,"(10, 10)",lbfgs,"{'activation': 'identity', 'hidden_layer_sizes': (10, 10), 'solver': 'lbfgs'}",0.9811452513966481,0.9766061452513967,0.9818372336709745,0.9814879497031086,0.9779951100244498,0.9798143380093155,0.002110284560765317,2
0.6834235668182373,0.06116107203561413,0.002216625213623047,0.00038766501426202584,identity,10,lbfgs,"{'activation': 'identity', 'hidden_layer_sizes': 10, 'solver': 'lbfgs'}",0.9818435754189944,0.9766061452513967,0.9811386657352428,0.9811386657352428,0.9779951100244498,0.9797444324330653,0.002059278980667093,3
1.350018358230591,0.1446766229416858,0.002993011474609375,2.1621292207249896e-06,identity,"(10, 10, 10)",lbfgs,"{'activation': 'identity', 'hidden_layer_sizes': (10, 10, 10), 'solver': 'lbfgs'}",0.9804469273743017,0.9762569832402235,0.980440097799511,0.9818372336709745,0.9779951100244498,0.979395270421892,0.0019985057757051414,4
1.3257746696472168,0.06554192006180623,0.0031962871551513674,0.000994975736172995,identity,"(5, 10, 5)",lbfgs,"{'activation': 'identity', 'hidden_layer_sizes': (5, 10, 5), 'solver': 'lbfgs'}",0.9811452513966481,0.9769553072625698,0.9811386657352428,0.9800908138316451,0.9752008382815229,0.9789061753015258,0.0024056704795400686,5
1.3909670829772949,0.0975014528191114,0.0023962020874023437,0.000475000961175086,identity,"(5, 5, 5, 5)",lbfgs,"{'activation': 'identity', 'hidden_layer_sizes': (5, 5, 5, 5), 'solver': 'lbfgs'}",0.9814944134078212,0.9741620111731844,0.9800908138316451,0.9800908138316451,0.977645826056584,0.978696775660176,0.0025838748358171593,6
1.890857458114624,0.18007579281343486,0.0030827999114990236,0.000597462220097684,identity,"(10, 10, 10, 10)",lbfgs,"{'activation': 'identity', 'hidden_layer_sizes': (10, 10, 10, 10), 'solver': 'lbfgs'}",0.9793994413407822,0.9766061452513967,0.977645826056584,0.9818372336709745,0.9779951100244498,0.9786967512688374,0.0018068636259041644,7
0.833688497543335,0.07830827674640604,0.0024875640869140626,0.0004582337012762756,identity,"(5, 5)",lbfgs,"{'activation': 'identity', 'hidden_layer_sizes': (5, 5), 'solver': 'lbfgs'}",0.9807960893854749,0.9755586592178771,0.9793922458959133,0.9786936779601816,0.9783443939923158,0.9785570132903525,0.0017184345554572347,8
1.075311279296875,0.06530003664932969,0.00277562141418457,0.0006764770872336888,identity,"(5, 5, 5)",lbfgs,"{'activation': 'identity', 'hidden_layer_sizes': (5, 5, 5), 'solver': 'lbfgs'}",0.9787011173184358,0.977304469273743,0.9807893817673768,0.9811386657352428,0.9745022703457912,0.9784871808881179,0.0024353475469564706,9
0.6849555015563965,0.03324784640657113,0.0019683361053466795,1.2006452857984707e-06,relu,5,lbfgs,"{'activation': 'relu', 'hidden_layer_sizes': 5, 'solver': 'lbfgs'}",0.9783519553072626,0.9738128491620112,0.9821865176388404,0.9779951100244498,0.9765979741529863,0.97778888125711,0.0027175680079166535,10
1.2012917518615722,0.055063267472359165,0.0031050682067871095,0.0001840720271013756,logistic,"(5, 5)",lbfgs,"{'activation': 'logistic', 'hidden_layer_sizes': (5, 5), 'solver': 'lbfgs'}",0.9759078212290503,0.9766061452513967,0.9765979741529863,0.9797415298637793,0.9793922458959133,0.9776491432786252,0.001590062404559284,11
2.1843922615051268,0.10404238954662039,0.003269052505493164,0.0004222751415903496,tanh,"(10, 10)",lbfgs,"{'activation': 'tanh', 'hidden_layer_sizes': (10, 10), 'solver': 'lbfgs'}",0.9783519553072626,0.9738128491620112,0.9769472581208523,0.9790429619280475,0.9793922458959133,0.9775094540828174,0.002029153117742171,12
3.078044128417969,0.1156518904310491,0.004056072235107422,0.00020780985697935693,tanh,"(10, 10, 10)",lbfgs,"{'activation': 'tanh', 'hidden_layer_sizes': (10, 10, 10), 'solver': 'lbfgs'}",0.9780027932960894,0.9738128491620112,0.9790429619280475,0.9797415298637793,0.9755501222493888,0.9772300512998632,0.002222194041081641,13
2.089836263656616,0.3849830432893284,0.0028542995452880858,0.00030684278097783014,relu,"(10, 10)",adam,"{'activation': 'relu', 'hidden_layer_sizes': (10, 10), 'solver': 'adam'}",0.9807960893854749,0.9738128491620112,0.977645826056584,0.9779951100244498,0.9758994062172547,0.9772298561691549,0.0023204610630155557,14
3.4518043994903564,0.37626025982723055,0.003593254089355469,0.0005283909426087645,logistic,"(10, 10, 10)",adam,"{'activation': 'logistic', 'hidden_layer_sizes': (10, 10, 10), 'solver': 'adam'}",0.9793994413407822,0.9755586592178771,0.9783443939923158,0.9772965420887181,0.9755501222493888,0.9772298317778162,0.0015210619103946767,15
4.72424087524414,1.1813509932521373,0.0035778045654296874,0.0012037568488516247,tanh,"(5, 5, 5)",adam,"{'activation': 'tanh', 'hidden_layer_sizes': (5, 5, 5), 'solver': 'adam'}",0.9766061452513967,0.9762569832402235,0.9800908138316451,0.9779951100244498,0.974851554313657,0.9771601213322745,0.0017741586306119614,16
